batch_id,collection_timestamp,city,station_type,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,cancelled,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:3:6,2026-09-22,ch:1:sjyid:100001:971-001,rail,InterCity,IC6,IC6,971,Basel SBB,Brig,6,,2026-09-22 12:07:00+00:00,2026-09-22 12:07:42+00:00,,True,0.7,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:07:00+02:00,2026-09-22 14:07:42+02:00,2026-09-22,14,Tuesday,False,2.3263833333333332
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:5:9,2026-09-22,ch:1:sjyid:100015:2825-001,rail,InterRegio,IR17,IR17,2825,Bern,Olten,9,,2026-09-22 12:07:00+00:00,2026-09-22 12:07:30+00:00,,True,0.5,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:07:00+02:00,2026-09-22 14:07:30+02:00,2026-09-22,14,Tuesday,False,2.3263833333333332
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000_gen:ch:1:sloid:7000:6:13_pf:13AB,2026-09-22,ch:1:sjyid:100015:15552-001,rail,S-Bahn,S5,S5,15552,Bern,Bern Brünnen Westside,13AB,,2026-09-22 12:08:00+00:00,2026-09-22 12:08:12+00:00,,True,0.2,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:08:00+02:00,2026-09-22 14:08:12+02:00,2026-09-22,14,Tuesday,False,3.3263833333333332
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000_gen:ch:1:sloid:7000:2:4_pf:4F-H,2026-09-22,ch:1:sjyid:100034:3822-001,rail,RegioExpress,RE2,RE2,3822,Bern,Broc-Chocolaterie,4F-H,,2026-09-22 12:09:00+00:00,2026-09-22 12:09:12+00:00,,True,0.2,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:09:00+02:00,2026-09-22 14:09:12+02:00,2026-09-22,14,Tuesday,False,4.326383333333334
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:501:23,2026-09-22,ch:1:sjyid:100066:SKI-8141,rail,S-Bahn,S8,S8,8141,Bern,Bätterkinden,23,,2026-09-22 12:09:00+00:00,2026-09-22 12:09:00+00:00,,True,0.0,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:09:00+02:00,2026-09-22 14:09:00+02:00,2026-09-22,14,Tuesday,False,4.326383333333334
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:55:49,2026-09-22,ch:1:sjyid:100015:3353-001,rail,InterRegio,IR65,IR65,3353,Bern,Biel/Bienne,49,,2026-09-22 12:12:00+00:00,2026-09-22 12:12:12+00:00,,True,0.2,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:12:00+02:00,2026-09-22 14:12:12+02:00,2026-09-22,14,Tuesday,False,7.326383333333334
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000_gen:ch:1:sloid:7000:0:1752_pf:5E-H,2026-09-22,ch:1:sjyid:100015:16448-001,rail,S-Bahn,S44,S44,16448,Burgdorf,Thun,5E-H,,2026-09-22 12:12:00+00:00,2026-09-22 12:12:42+00:00,,True,0.7,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:12:00+02:00,2026-09-22 14:12:42+02:00,2026-09-22,14,Tuesday,False,7.326383333333334
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:4:7,2026-09-22,ch:1:sjyid:100015:15253-001,rail,S-Bahn,S2,S2,15253,Laupen BE,Langnau i.E.,7,,2026-09-22 12:12:00+00:00,2026-09-22 12:12:12+00:00,,True,0.2,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:12:00+02:00,2026-09-22 14:12:12+02:00,2026-09-22,14,Tuesday,False,7.326383333333334
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000_gen:ch:1:sloid:7000:1:21_pf:1E-H,2026-09-22,ch:1:sjyid:100015:15150-001,rail,S-Bahn,S1,S1,15150,Thun,Fribourg/Freiburg,1E-H,,2026-09-22 12:15:00+00:00,2026-09-22 12:15:12+00:00,,True,0.2,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:15:00+02:00,2026-09-22 14:15:12+02:00,2026-09-22,14,Tuesday,False,10.326383333333332
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:501:24,2026-09-22,ch:1:sjyid:100066:SKI-7143,rail,S-Bahn,S7,S7,7143,Bern,Worb Dorf,24,,2026-09-22 12:15:00+00:00,2026-09-22 12:15:00+00:00,,True,0.0,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:15:00+02:00,2026-09-22 14:15:00+02:00,2026-09-22,14,Tuesday,False,10.326383333333332
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:500:22,2026-09-22,ch:1:sjyid:100066:SKI-9143,rail,S-Bahn,S9,S9,9143,Bern,Unterzollikofen,22,,2026-09-22 12:16:00+00:00,2026-09-22 12:16:00+00:00,,True,0.0,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:16:00+02:00,2026-09-22 14:16:00+02:00,2026-09-22,14,Tuesday,False,11.326383333333332
